"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"FF","2019-06-02","88.5","-2.58","4.97","Truist Park",641525,527054,,"foul",,,,,6,"Brandon Dixon grounds out softly, pitcher Julio Teheran to first baseman Freddie Freeman.","R","R","R","ATL","DET","S",,,0,1,2019,"-0.19","0.86","0.68","2.75",,,,0,4,"Top",,,,,,,8.28447533723414,-128.661953489232,-1.19135951615059,-3.59763762123527,22.5933401530229,-22.6151066869536,"3.4","1.62",232,"76",42,"88.4",2380,"6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.54",,,,,,,,25,2,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",193,"0","-0.052",,,,"0.052","88.0",2,-2,"0.738","0.262",28,27,28,27,2,1,7,1,6,2,"2.06","0.19","0.19",
"FF","2019-06-02","93","2.21","5.57","Truist Park",660670,571510,,"foul",,,,,11,"Ronald Acuna called out on strikes.","R","R","L","ATL","DET","S",,,1,1,2019,"0.56","1.18","-1.14","2.92",,527054,,1,3,"Bot",,,,,,,-9.84507423839456,-135.280682554206,-3.70132753234149,8.75584903570434,23.5610392731469,-17.0135662887071,"3.51","1.63",141,"70.4",74,"93.9",2394,"6.4",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.12",,,,,,,,22,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",154,"0","-0.078",,,,"0.078","88.0",0,0,"0.576","0.576",28,21,28,22,2,1,5,1,5,2,"1.42","0.56","-0.56",
"CH","2019-06-02","82.9","-2.25","4.88","Truist Park",592348,527054,,"foul",,,,,7,"Niko Goodrum pops out to first baseman Freddie Freeman.","R","L","R","ATL","DET","S",,,1,0,2019,"-1","0.45","-0.66","2.06",,,571510,0,3,"Top",,,,,,,5.47748888260677,-120.696997388144,-0.91782899425174,-10.5578006711804,19.8249373595738,-27.9045935706738,"3.55","1.71",120,"67.7",15,"82.7",1590,"5.8",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.71",,,,,,,,17,2,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",246,"0","-0.085",,,,"0.085","88.0",0,0,"0.46","0.54",28,27,28,27,2,1,7,1,6,2,"2.89","1","-1",
"FF","2019-06-02","92.3","2.21","5.43","Truist Park",527054,571510,,"foul",,,,,8,"Julio Teheran doubles (1) on a ground ball to left fielder Christin Stewart.","R","R","L","ATL","DET","S",,,1,0,2019,"0.81","1.16","-0.18","2.01",,,,1,3,"Bot",,,,,,,-7.8454749399524,-134.123938604481,-5.40200359901932,11.4709214356211,27.4366474032313,-17.2038159385353,"3.39","1.59",,,,"92.5",2518,"6.4",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.14",,,,,,,,21,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Strategic",145,"0","-0.037",,,,"0.037",,0,0,"0.529","0.529",28,28,28,28,1,0,5,7,5,6,"1.51","0.81","-0.81",
"FF","2019-06-02","87.9","-2.52","4.88","Truist Park",571510,527054,,"foul",,,,,7,"Matthew Boyd singles on a ground ball to right fielder Johan Camargo.","R","L","R","ATL","DET","S",,,0,1,2019,"-0.67","1","-0.58","1.93",,,,0,3,"Top",,,,,,,6.03355959841193,-127.958905985308,-3.18390877905031,-8.39536946842486,21.2756128200557,-20.8662504987006,"3.22","1.6",,,,"88.1",2365,"6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.54",,,,,,,,16,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",214,"0","-0.052",,,,"0.052",,0,0,"0.5","0.5",28,28,28,28,1,0,7,,6,,"1.95","0.67","-0.67",
"FF","2019-06-02","91.9","2.25","5.56","Truist Park",452095,571510,,"foul",,,,,11,"Tyler Flowers strikes out swinging, catcher Grayson Greiner to first baseman John Hicks.","R","R","L","ATL","DET","S",,,0,0,2019,"0.54","1.3","-0.34","3.61",,,,0,3,"Bot",,,,,,,-7.70718962936086,-133.690586371711,-1.89672778841919,8.06940394755664,27.6371829176921,-16.4945202006429,"3.3","1.56",,,,"91.8",2407,"6.1",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.37",,,,,,,,20,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",157,"0","-0.04",,,,"0.04",,0,0,"0.554","0.554",28,33,28,33,1,0,5,1,5,2,"1.42","0.54","-0.54",
"FC","2019-06-02","88.8","2.54","6.05","Truist Park",645277,598286,,"foul",,,,,7,"Ozzie Albies grounds out sharply, second baseman Brandon Dixon to first baseman John Hicks.","R","R","L","ATL","DET","S",,,2,1,2019,"0.08","0.79","-0.54","1.5",,,,2,6,"Bot",,,,,,,-7.5423277519678,-128.942507295935,-6.64162888822192,2.0906710006127,21.7143597190573,-22.6156918210207,"3.31","1.54",160,"59.3",29,"87.7",2292,"5.3",567192,606988,543308,641525,608475,592348,621514,592444,592206,"55.22",,,,,,,,50,4,"Cutter",3,0,3,0,0,3,3,0,"Infield shift","Standard",175,"0","-0.033",,,,"0.033","88.0",3,3,"0.905","0.905",29,22,30,22,1,2,4,1,3,2,"2.18","0.08","-0.08",
"SL","2019-06-02","81.9","-2.69","4.81","Truist Park",543308,527054,,"foul",,,,,11,"John Hicks grounds out, third baseman Josh Donaldson to first baseman Freddie Freeman.","R","R","R","ATL","DET","S",,,0,0,2019,"0.08","0.41","-0.86","2.8",621514,,592206,2,1,"Top",,,,,,,3.98081407017229,-119.323219369473,1.14793448566764,0.0622006875371958,20.8476849077704,-28.6345590645028,"3.31","1.58",,,,"82.1",2544,"6.1",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.37",,,,,,,,5,1,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",169,"0","-0.073",,,,"0.073",,0,0,"0.5","0.5",28,29,28,30,1,0,7,1,6,3,"2.98","-0.08","-0.08",
"FF","2019-06-02","96.4","-1.56","6.54","Truist Park",641525,592426,,"foul",,,,,12,"Brandon Dixon strikes out swinging, catcher Tyler Flowers to first baseman Freddie Freeman.","R","R","R","ATL","DET","S",,,1,2,2019,"-0.55","1.53","0.26","3.83",,,,2,9,"Top",,,,,,,6.12960569612346,-140.292719266528,-5.16446748700317,-8.63538305030507,31.57125362737,-10.8026633044927,"3.42","1.62",,,,"96.9",2351,"6.6",567192,452095,518692,645277,518626,621020,518586,660670,455976,"53.93",,,,,,,,75,4,"4-Seam Fastball",7,4,4,7,4,7,4,7,"Standard","Standard",200,"0","0",,,,"0",,3,-3,"0.996","0.004",27,27,28,27,1,4,1,1,6,2,"0.9","0.55","0.55",
"FF","2019-06-02","93.6","-1.01","5.78","Truist Park",592444,461872,,"foul",,,,,8,"JaCoby Jones strikes out swinging.","R","R","R","ATL","DET","S",,,1,1,2019,"-0.83","1.39","-0.13","2.12",,,606988,2,6,"Top",,,,,,,4.06403012652669,-136.205785566005,-6.7505584295507,-11.1725127356063,28.9248193773778,-13.6835855941194,"3.47","1.66",,,,"93.5",2453,"6.1",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.36",,,,,,,,47,3,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",211,"0","-0.073",,,,"0.073",,3,-3,"0.897","0.103",33,27,34,27,1,2,2,1,2,2,"1.22","0.83","0.83",
